remark,"CSV-Import-Export"
remark,"Date = Sat Sep  6 14:09:11 2025"
remark,"Version = RSLogix 5000 v37.01"
remark,"Owner = "
remark,"Company = "
0.3
TYPE,SCOPE,NAME,DESCRIPTION,DATATYPE,SPECIFIER,ATTRIBUTES
TAG,,RemoteHPU:1:C,"","AB:1734_IE2:C:0","","(ExternalAccess := Read/Write)"
TAG,,RemoteHPU:1:I,"","AB:1734_IE2:I:0","","(ExternalAccess := Read/Write)"
TAG,,RemoteHPU:2:C,"","AB:1734_DI8:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RemoteHPU:2:I,"","","RemoteHPU:I.Data[2]","(RADIX := Binary, ExternalAccess := Read/Write, DataExchangeId := {A6D36380-2F97-4003-824A-14E2426FDD63})"
TAG,,RemoteHPU:3:C,"","AB:1734_DI8:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RemoteHPU:3:I,"","","RemoteHPU:I.Data[3]","(RADIX := Binary, ExternalAccess := Read/Write, DataExchangeId := {38A5D103-83BD-4C64-99D5-FC03F8B82C23})"
TAG,,RemoteHPU:4:C,"","AB:1734_DI8:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RemoteHPU:4:I,"","","RemoteHPU:I.Data[4]","(RADIX := Binary, ExternalAccess := Read/Write, DataExchangeId := {BE06067D-789E-48A3-AA80-A6C931062639})"
TAG,,RemoteHPU:5:C,"","AB:1734_DOB4:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RemoteHPU:5:I,"","","RemoteHPU:I.Data[5]","(RADIX := Binary, ExternalAccess := Read/Write, DataExchangeId := {81983F69-E514-4BAC-9A9B-795FAEFE1734})"
ALIAS,,RemoteHPU:5:O,"","","RemoteHPU:O.Data[5]","(RADIX := Binary, ExternalAccess := Read/Write, DataExchangeId := {4EE456A0-64B6-487D-ABF4-3F0C5113AAE6})"
TAG,,RemoteHPU:6:C,"","AB:1734_DOB4:C:0","","(ExternalAccess := Read/Write)"
ALIAS,,RemoteHPU:6:I,"","","RemoteHPU:I.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write, DataExchangeId := {D6939142-04C0-4D56-A564-2FA9066436B4})"
ALIAS,,RemoteHPU:6:O,"","","RemoteHPU:O.Data[6]","(RADIX := Binary, ExternalAccess := Read/Write, DataExchangeId := {DB11E4A4-AA75-4F14-AA77-A276678CEB35})"
TAG,,RemoteHPU:I,"","AB:1734_8SLOT:I:0","","(ExternalAccess := Read/Write)"
TAG,,RemoteHPU:O,"","AB:1734_8SLOT:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:1:C,"","AB:Embedded_DiscreteIO:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:1:I,"","AB:Embedded_DiscreteIO:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:1:O,"","AB:Embedded_DiscreteIO:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:2:C,"","AB:1734_IE2:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:2:I,"","AB:1734_IE2:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:3:C,"","AB:1734_IE2:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:3:I,"","AB:1734_IE2:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:4:C,"","AB:1734_IE2:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:4:I,"","AB:1734_IE2:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:5:C,"","AB:1734_OE2:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:5:I,"","AB:1734_OE2:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:5:O,"","AB:1734_OE2:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:6:C,"","AB:1734_DO4:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:6:I,"","AB:1734_DO2:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:6:O,"","AB:1734_DO8:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:C,"","AB:1734_DO4:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:I,"","AB:1734_DO2:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:7:O,"","AB:1734_DO8:O:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:C,"","AB:1734_DO4:C:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:I,"","AB:1734_DO2:I:0","","(ExternalAccess := Read/Write)"
TAG,,Local:8:O,"","AB:1734_DO8:O:0","","(ExternalAccess := Read/Write)"
TAG,,Kane:I1,"","_024E:R200_CPU20L_87A04735:I:0","","(ExternalAccess := Read/Write)"
TAG,,Kane:O1,"","_024E:R200_CPU20L_A8CA6B01:O:0","","(ExternalAccess := Read/Write)"
ALIAS,,InBackGaugePot,"","","Local:3:I.Ch1Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {6483E1D4-B5F7-4793-9AC9-A8D6B481AC99})"
ALIAS,,inMS1HydraulicPump,"","","Local:1:I.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {6C86BD59-F781-43D9-B727-371529CBF264})"
ALIAS,,inMS2HydraulicKidneyLoop,"","","Local:1:I.Data.2","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {67F39228-C630-459B-83B1-B389AE83581C})"
ALIAS,,InMS3HydCoolingFan,"","","Local:1:I.Data.3","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {B2D90655-5078-4DEE-9571-3726ADEAACB8})"
ALIAS,,inMS4CoolantStarter,"","","Local:1:I.Data.4","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {BD7DDFB4-0BFD-4C85-B77F-03612D4C66E6})"
ALIAS,,inMS5SwarfPump,"","","Local:1:I.Data.5","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {29918BC3-0C07-4EE1-A1EA-F3FB6B37A62B})"
ALIAS,,inMS6SwarfConveyor,"","","Local:1:I.Data.6","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {1EECB47E-CD47-4098-99A4-899DB001DE68})"
ALIAS,,inRaiseLowerPot,"","","Local:2:I.Ch1Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {D2C70B29-7D70-4834-BDCD-499B5E8B2B3B})"
ALIAS,,inSpindleAside,"","","Local:4:I.Ch0Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {940C8831-7972-4A50-92AA-F2C60168B413})"
ALIAS,,inSpindleBside,"","","Local:4:I.Ch1Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {F1646682-5521-4D4D-964A-7D9F351AAD51})"
ALIAS,,inSpindleSpeed,"","","Local:2:I.Ch0Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {8E33B023-33CA-48B6-A82E-C4F1E161756C})"
ALIAS,,inSR1SafetyRelay,"","","Local:1:I.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {366AB894-C128-431F-852B-63397D83BF32})"
ALIAS,,inTraversePot,"","","Local:3:I.Ch0Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {0ED68D47-1F63-40A5-A1CA-B9DEA14FA815})"
ALIAS,,outLaserLine,"","","Local:8:O.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {CDB559FF-86E2-43F3-9858-737996C443AF})"
ALIAS,,outMS1Hydraulic,"","","Local:6:O.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {0280884E-BA40-4C23-AADC-FB094EDF7EC4})"
ALIAS,,outMS2KidneyLoop,"","","Local:6:O.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {0755783A-2CC1-4729-977C-A9503E4CBADA})"
ALIAS,,outMS3HydraulicCooling,"","","Local:6:O.Data.2","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {53FE209C-3916-4A97-A846-EC7932A0CD8E})"
ALIAS,,outMS4Coolant,"","","Local:6:O.Data.3","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {770CE8DE-83E0-4425-8A91-5B8A181756C8})"
ALIAS,,outMS5SwarfPump,"","","Local:7:O.Data.0","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {F36F72CE-E76B-42C8-A833-6F2DB4D4A3EE})"
ALIAS,,outMS6SwarfConveyor,"","","Local:7:O.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {B802DFF0-7E97-4CD1-847B-8AC8A87BED5A})"
ALIAS,,outSpindleMotor,"","","Local:5:O.Ch1Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {5B2F5758-3E7D-4CE2-BE33-EB1B0D834B9D})"
ALIAS,,outSpindlePump,"","","Local:5:O.Ch0Data","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {9B0FBCFD-F11E-4DA4-89A3-65D6179184CF})"
ALIAS,,outStackLtAmber,"","","Local:8:O.Data.2","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {E51133B5-9BCA-4CBD-BF3C-59969E1ECD50})"
ALIAS,,outStackLtGreen,"","","Local:8:O.Data.1","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {528B4842-0B1E-4675-9C0C-B651F10035BE})"
ALIAS,,outStackLtRed,"","","Local:8:O.Data.3","(RADIX := Decimal, ExternalAccess := Read/Write, DataExchangeId := {B574107E-1C87-4A46-A9C9-F4A175310E23})"
TAG,,RMC_Busy,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,RMC_In,"","RMC_IN","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,RMC_Out,"","RMC_OUT","","(Constant := false, ExternalAccess := Read/Write)"
TAG,,RMC_SendRequest,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,tbOnOff,"","BOOL","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,test,"","DINT","","(RADIX := Decimal, Constant := false, ExternalAccess := Read/Write)"
TAG,,tmrTest,"","TIMER","","(Constant := false, ExternalAccess := Read/Write)"
